caseId,receivedDate,caseStatus
YSC1790000466,11/22/2016,Card Was Mailed To Me
YSC1790000467,09/30/2016,Case Was Received
YSC1790000468,09/30/2016,Case Was Received
YSC1790000469,09/30/2016,Case Was Received
YSC1790000470,09/30/2016,Case Was Received
YSC1790000471,09/30/2016,Case Was Received
YSC1790000472,09/30/2016,Case Was Received
YSC1790000473,09/30/2016,Case Was Received
YSC1790000474,09/30/2016,Case Was Received
YSC1790000475,09/30/2016,Case Was Received
YSC1790000476,12/01/2016,Card Was Delivered To Me By The Post Office
YSC1790000477,11/22/2016,Card Was Mailed To Me
YSC1790000478,11/30/2016,Card Was Delivered To Me By The Post Office
YSC1790000479,11/23/2016,Card Was Mailed To Me
YSC1790000480,11/30/2016,Card Was Delivered To Me By The Post Office
YSC1790000481,11/22/2016,Card Was Mailed To Me
YSC1790000482,09/30/2016,Case Was Received
YSC1790000483,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000484,09/30/2016,Case Was Received
YSC1790000485,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000486,11/22/2016,Card Was Mailed To Me
YSC1790000487,11/30/2016,Card Was Picked Up By The United States Postal Service
YSC1790000488,11/22/2016,Card Was Mailed To Me
YSC1790000489,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000490,11/22/2016,Decision Notice Mailed
YSC1790000491,11/21/2016,Card Was Mailed To Me
YSC1790000492,09/30/2016,Case Was Received
YSC1790000493,09/30/2016,Case Was Received
YSC1790000494,11/22/2016,Card Was Mailed To Me
YSC1790000495,11/21/2016,Card Was Mailed To Me
YSC1790000496,11/18/2016,Card Was Delivered To Me By The Post Office
YSC1790000497,09/30/2016,Case Was Received
YSC1790000498,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000499,11/30/2016,Card Was Delivered To Me By The Post Office
YSC1790000500,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000501,11/22/2016,Card Was Mailed To Me
YSC1790000502,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000503,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000504,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000505,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000506,11/29/2016,Card Was Delivered To Me By The Post Office
YSC1790000507,11/21/2016,Card Was Mailed To Me
YSC1790000508,11/22/2016,Card Was Mailed To Me
YSC1790000509,11/21/2016,Card Was Mailed To Me
YSC1790000510,12/02/2016,Card Was Mailed To Me
YSC1790000511,11/22/2016,Card Was Mailed To Me
YSC1790000512,11/21/2016,Card Was Mailed To Me
YSC1790000513,11/22/2016,Card Was Mailed To Me
YSC1790000514,11/23/2016,Card Was Mailed To Me
YSC1790000515,09/30/2016,Case Was Received
YSC1790000516,11/23/2016,Card Was Mailed To Me
YSC1790000517,11/18/2016,Card Was Delivered To Me By The Post Office
YSC1790000518,09/30/2016,Case Was Received
YSC1790000519,11/22/2016,Card Was Mailed To Me
